Gene,log2FoldChange,pvalue,padj,logpvalue,significance
CDC42EP5,-1.355,0.0001581,0.08146,3.80106813,Downregulated
SLC12A8,-0.9425,0.0001589,0.08146,3.798876103,Not Significant
ZNF391,-1.024,0.0001913,0.09512,3.71828503,Downregulated
GALNTL2,1.075,0.0002298,0.1109,3.638649976,Upregulated
C4orf45,1.288,0.0002472,0.1159,3.606951534,Upregulated
KIF18B,-0.8849,0.0002551,0.1162,3.593289541,Not Significant
KIF20A,-0.9505,0.0002972,0.1318,3.526951195,Not Significant
PDE1B,1.053,0.0003356,0.1449,3.474178048,Upregulated
BCAN,1.117,0.0003698,0.1477,3.432033093,Upregulated
APLNR,-1.365,0.000378,0.1477,3.4225082,Downregulated
CILP,-1.11,0.0003582,0.1477,3.445874418,Downregulated
TEC,-1.373,0.0003701,0.1477,3.431680915,Downregulated
KLF5,-0.8177,0.0004159,0.1578,3.38101108,Not Significant
ACSS2,-0.5578,0.0004232,0.1578,3.373454341,Not Significant
RAPGEF2,0.3371,0.0004513,0.1645,3.345534666,Not Significant
C1orf51,-0.6451,0.0005237,0.1665,3.280917426,Not Significant
IGF2-AS1,-1.235,0.0005835,0.1665,3.23395914,Downregulated
RPLP0P2,-1.096,0.0005689,0.1665,3.244964066,Downregulated
COTL1,-0.7376,0.0005886,0.1665,3.230179742,Not Significant
MYO1D,-0.8454,0.0005529,0.1665,3.25735341,Not Significant
CIAO1,0.2695,0.000522,0.1665,3.282329497,Not Significant
POU3F3,0.6857,0.000588,0.1665,3.230622674,Not Significant
CFLAR,-0.9694,0.0005598,0.1665,3.251967106,Not Significant
BHLHE40,-1.127,0.0004785,0.1665,3.320118058,Downregulated
PLSCR4,-1.317,0.0004978,0.1665,3.302945108,Downregulated
HECW1,0.5135,0.0005373,0.1665,3.269783159,Not Significant
KCNQ3,1.147,0.000483,0.1665,3.316052869,Upregulated
TIMP1,-1.15,0.0005267,0.1665,3.278436682,Downregulated
CAV1,-1.115,0.0006722,0.1869,3.172501492,Downregulated
LTBP4,-0.8186,0.0006991,0.1912,3.155460698,Not Significant
HDAC1,-0.4542,0.0007203,0.1937,3.142486585,Not Significant
HSPG2,-1.218,0.0007963,0.1947,3.098923284,Downregulated
CYR61,-1.102,0.0008071,0.1947,3.093072653,Downregulated
MYOF,-1.194,0.0007397,0.1947,3.130944381,Downregulated
COL4A1,-1.252,0.0007866,0.1947,3.104246058,Downregulated
NMB,0.8677,0.0007872,0.1947,3.103914915,Not Significant
ICAM1,-1.144,0.0007795,0.1947,3.10818388,Downregulated
NOTCH3,-0.7585,0.0007529,0.1947,3.123262703,Not Significant
MPPED2,0.5135,0.0008344,0.1984,3.078625705,Not Significant
COL9A1,-0.9755,0.0008905,0.2087,3.050366076,Not Significant
ACSF2,-1.142,0.0009448,0.2183,3.024660115,Downregulated
KTN1,-0.3119,0.0009652,0.2199,3.015382687,Not Significant
ITPR1,-1.118,0.00102,0.226,2.991399828,Downregulated
PRPS2,-0.722,0.00101,0.226,2.995678626,Not Significant
FAM180B,1.249,0.001146,0.2399,2.940815382,Upregulated
POU2F3,-1.273,0.001114,0.2399,2.953114809,Downregulated
COL5A2,-1.262,0.001155,0.2399,2.937418016,Downregulated
ZSWIM3,0.438,0.001143,0.2399,2.94195377,Not Significant
CADM2,0.643,0.001102,0.2399,2.957818405,Not Significant
ARHGEF17,-0.5462,0.001214,0.2453,2.915781313,Not Significant
SSC5D,-1.126,0.001229,0.2453,2.910448117,Downregulated
NRN1,0.8605,0.001241,0.2453,2.906228219,Not Significant
PLAT,-1.103,0.001226,0.2453,2.91150953,Downregulated
SFXN2,-0.8373,0.00126,0.2456,2.899629455,Not Significant
FMNL2,-0.2466,0.001276,0.2456,2.894149326,Not Significant
ADAMTS3,-0.6153,0.001288,0.2456,2.890084137,Not Significant
ADAMTS19,-1.199,0.001348,0.2543,2.870310108,Downregulated
SH3BP1,-0.9641,0.001367,0.2548,2.864231485,Not Significant
LEFTY2,-1.225,0.001414,0.2578,2.849550591,Downregulated
EHBP1,0.3191,0.001414,0.2578,2.849550591,Not Significant
UAP1L1,-1.113,0.001454,0.2622,2.837435593,Downregulated
RAB27A,-1.073,0.001516,0.2702,2.819300799,Downregulated
ZNF213,0.3028,0.001604,0.28,2.794795636,Not Significant
TOMM34,-0.4213,0.001596,0.28,2.796967113,Not Significant
PERP,-0.914,0.001672,0.2888,2.776763727,Not Significant
OSMR,-1.226,0.001749,0.2988,2.757210191,Downregulated
CDCA3,-0.7986,0.001911,0.3119,2.718739313,Not Significant
GPR179,0.8394,0.001972,0.3119,2.705093089,Not Significant
TMC6,-1.078,0.001977,0.3119,2.703993331,Downregulated
STXBP5L,0.6711,0.001936,0.3119,2.713094647,Not Significant
HSPA1L,0.8842,0.001851,0.3119,2.732593581,Not Significant
PLIN2,-0.604,0.001866,0.3119,2.729088361,Not Significant
GSN,-1.117,0.001977,0.3119,2.703993331,Downregulated
F8A1,0.9911,0.00191,0.3119,2.718966633,Not Significant
SLC27A6,-1.196,0.001998,0.3121,2.699404516,Downregulated
COL4A2,-1.013,0.002192,0.3157,2.65915945,Downregulated
WFDC1,-1.162,0.002149,0.3157,2.667763585,Downregulated
DSEL,0.6867,0.002194,0.3157,2.658763377,Not Significant
DOCK6,-0.8158,0.002172,0.3157,2.663140179,Not Significant
MAN2B1,-0.4688,0.002099,0.3157,2.677987561,Not Significant
NFKBIZ,-0.888,0.002132,0.3157,2.6712128,Not Significant
OCIAD2,0.7605,0.002108,0.3157,2.676129393,Not Significant
REST,-0.5478,0.002073,0.3157,2.683400698,Not Significant
ANXA5,-0.8639,0.002075,0.3157,2.682981899,Not Significant
TRIM13,0.3688,0.002254,0.3216,2.647046088,Not Significant
ANLN,-0.7229,0.002306,0.3261,2.637140697,Not Significant
AP1S3,-0.8107,0.002352,0.3271,2.628562683,Not Significant
LOC100859930,0.9008,0.002343,0.3271,2.630227711,Not Significant
STK17B,-0.887,0.00238,0.3281,2.623423043,Not Significant
BHLHB9,0.4738,0.002441,0.3337,2.612432221,Not Significant
IL1R1,-1.185,0.00248,0.3362,2.605548319,Downregulated
CSDA,-0.7633,0.002833,0.35,2.547753425,Not Significant
POSTN,-1.176,0.002706,0.35,2.567672208,Downregulated
HHIPL1,0.8127,0.002742,0.35,2.56193255,Not Significant
APBA2,0.4314,0.002752,0.35,2.56035157,Not Significant
CBLN1,1.066,0.002768,0.35,2.557833914,Upregulated
ALPK2,-1.108,0.002789,0.35,2.554551486,Downregulated
NFATC2,-1.108,0.002726,0.35,2.564474149,Downregulated
CN5H6.4,0.7852,0.002792,0.35,2.554084586,Not Significant
ABHD14B,-1.03,0.002859,0.35,2.543785845,Downregulated
COL8A1,-1.171,0.002841,0.35,2.546528766,Downregulated
HCG11,-0.8357,0.002844,0.35,2.546070408,Not Significant
RUNX2,-0.88,0.002632,0.35,2.579714115,Not Significant
EPB41L2,-0.9145,0.002832,0.35,2.547906751,Not Significant
COL11A1,-1.145,0.002903,0.3528,2.537152964,Downregulated
PODN,-1.155,0.003085,0.3722,2.510744832,Downregulated
NET1,-1.015,0.00311,0.3724,2.507239611,Downregulated
IL13RA1,-1.106,0.003139,0.3731,2.503208684,Downregulated
RNF207,-0.7995,0.003239,0.3798,2.489589052,Not Significant
TRPM2,1.05,0.003246,0.3798,2.488651485,Upregulated
SDF2L1,-0.4649,0.003298,0.3798,2.481749349,Not Significant
SLCO2A1,-1.094,0.003293,0.3798,2.482408269,Downregulated
DACT2,-1.06,0.00331,0.3798,2.480172006,Downregulated
DCXR,-0.4101,0.003335,0.38,2.476904162,Not Significant
BCAM,-0.8227,0.003423,0.3873,2.465593101,Not Significant
FAM46B,-1.002,0.00347,0.39,2.459670525,Downregulated
FOXL1,-1.136,0.003579,0.3965,2.446238302,Downregulated
SMTN,-0.7131,0.003625,0.3965,2.440691989,Not Significant
SLC6A1,0.7104,0.003616,0.3965,2.441771578,Not Significant
YY2,-0.5988,0.003612,0.3965,2.442252258,Not Significant
DEPDC1,-0.755,0.003704,0.3999,2.431329022,Not Significant
HEPACAM2,1.116,0.003727,0.3999,2.428640607,Upregulated
WBP5,-0.8485,0.003729,0.3999,2.428407617,Not Significant
SPSB1,-1.05,0.003878,0.4105,2.411392195,Downregulated
KIF23,-0.7154,0.003953,0.4105,2.403073186,Not Significant
C1QL1,-1.072,0.003907,0.4105,2.408156589,Downregulated
CBLN2,1.072,0.003934,0.4105,2.405165644,Upregulated
LOC100505806,-1.069,0.003912,0.4105,2.407601154,Downregulated
POU3F1,0.7912,0.004163,0.4116,2.380593589,Not Significant
RGS8,0.9341,0.0043,0.4116,2.366531544,Not Significant
GAD2,0.7494,0.004273,0.4116,2.369267107,Not Significant
PKP2,-0.9689,0.004316,0.4116,2.364918564,Not Significant
KIAA0564,-0.4253,0.004323,0.4116,2.364214764,Not Significant
PIF1,-0.9292,0.004484,0.4116,2.348334396,Not Significant
OR1F1,0.8391,0.004052,0.4116,2.392330563,Not Significant
RRN3,0.3764,0.00431,0.4116,2.36552273,Not Significant
CORO1A,0.4844,0.004098,0.4116,2.387428046,Not Significant
CRISPLD2,-1.115,0.004242,0.4116,2.372429336,Downregulated
TOP2A,-0.7962,0.004366,0.4116,2.359916269,Not Significant
ANKRD12,0.3062,0.004161,0.4116,2.380802284,Not Significant
DHDH,-0.811,0.004357,0.4116,2.36081244,Not Significant
ZNF274,0.3354,0.004118,0.4116,2.385313658,Not Significant
DPP4,-1.127,0.004023,0.4116,2.395449967,Downregulated
TMEM169,0.7379,0.004108,0.4116,2.386369565,Not Significant
CMTM8,-0.7701,0.004417,0.4116,2.354872601,Not Significant
LAMP3,-0.9384,0.004515,0.4116,2.345342245,Not Significant
SYNJ2,-0.9266,0.004504,0.4116,2.346401618,Not Significant
DPY19L2P3,1.061,0.00448,0.4116,2.348721986,Upregulated
TSC22D4,-0.5131,0.00443,0.4116,2.353596274,Not Significant
AR,-0.5979,0.00436,0.4116,2.360513511,Not Significant
LOC339862,-1.109,0.004578,0.415,2.339324212,Downregulated
CCDC152,0.9749,0.004621,0.4165,2.335264031,Not Significant
NQO2,-0.6663,0.004716,0.4228,2.326426204,Not Significant
CMTM5,1.096,0.004868,0.4341,2.31264943,Upregulated
SERPING1,-0.8202,0.004974,0.4411,2.303294219,Not Significant
TLCD2,-0.9392,0.005095,0.4494,2.292855812,Not Significant
ATXN7L3B,0.3532,0.005133,0.4503,2.289628736,Not Significant
APOE,-0.9273,0.005183,0.4523,2.285418791,Not Significant
GPC3,-1.073,0.005233,0.4542,2.281249265,Downregulated
IRF1,-0.8166,0.00527,0.455,2.278189385,Not Significant
GNG2,0.3508,0.005368,0.4611,2.270187493,Not Significant
EPHX1,-0.5381,0.005794,0.4656,2.237021509,Not Significant
CLEC2D,-0.8191,0.005714,0.4656,2.243059764,Not Significant
PTPRB,-1.079,0.005753,0.4656,2.240105626,Downregulated
NFATC4,-0.93,0.005692,0.4656,2.244735109,Not Significant
LGALS3,-0.9472,0.005809,0.4656,2.235898624,Not Significant
OTX2,0.8839,0.005746,0.4656,2.240634378,Not Significant
UACA,-1.058,0.005562,0.4656,2.254769015,Downregulated
HAPLN3,-0.9001,0.005753,0.4656,2.240105626,Not Significant
MYO5B,-0.982,0.005461,0.4656,2.262727823,Not Significant
PVRL3,-0.4554,0.005817,0.4656,2.235300936,Not Significant
PRDM6,-1.068,0.005688,0.4656,2.245040412,Downregulated
PDLIM7,-0.7154,0.005623,0.4656,2.250031916,Not Significant
TSPYL4,0.3561,0.005811,0.4656,2.235749125,Not Significant
CHRM2,0.9253,0.005564,0.4656,2.254612879,Not Significant
PMEL,-1.007,0.005987,0.4666,2.222790742,Downregulated
GLIPR1,-1.05,0.006001,0.4666,2.221776373,Downregulated
NLRC5,-0.9957,0.005976,0.4666,2.223589411,Not Significant
FAM117A,-0.4496,0.005934,0.4666,2.226652458,Not Significant
FAM83D,-0.7423,0.006,0.4666,2.22184875,Not Significant
C7,-1.072,0.005919,0.4666,2.22775166,Downregulated
SERPINF1,-1.026,0.006158,0.4721,2.210560315,Downregulated
PLEKHH2,-1.032,0.006134,0.4721,2.212256228,Downregulated
GYPC,-1.042,0.006102,0.4721,2.214527797,Downregulated
LAMB2,-0.5626,0.006196,0.4728,2.207888591,Not Significant
SYNPO2,-1.065,0.006232,0.4734,2.205372555,Downregulated
SLCO4C1,0.9821,0.006278,0.4746,2.202178689,Not Significant
TNFAIP6,-1.011,0.006348,0.4777,2.197363082,Downregulated
FKBP10,-0.7909,0.006391,0.4788,2.194431182,Not Significant
LAMC1,-0.9224,0.006516,0.4827,2.186018924,Not Significant
FAM150B,-1.066,0.006477,0.4827,2.188626103,Downregulated
TM4SF1,-1.051,0.006532,0.4827,2.184953824,Downregulated
PCK2,-0.9537,0.006608,0.4832,2.179929966,Not Significant
ZNF732,-0.949,0.006608,0.4832,2.179929966,Not Significant
SLC35D2,-0.8576,0.006626,0.4832,2.178748568,Not Significant
NOTCH2NL,-0.517,0.006761,0.4867,2.169989064,Not Significant
KRT19,-1.027,0.006764,0.4867,2.169796401,Downregulated
PCDHGB7,1.014,0.006713,0.4867,2.173083353,Upregulated
LOC100128787,0.9828,0.006919,0.4872,2.159956669,Not Significant
PLXDC2,-0.554,0.00689,0.4872,2.161780778,Not Significant
SLFN11,-1.06,0.006835,0.4872,2.165261481,Downregulated
NEDD4L,0.3903,0.006904,0.4872,2.160899217,Not Significant
SPATA2,0.3181,0.006851,0.4872,2.164246032,Not Significant
CDCP1,-1.047,0.007063,0.4931,2.151010794,Downregulated
USP53,-0.4552,0.007063,0.4931,2.151010794,Not Significant
TRAF5,-0.9501,0.007369,0.4935,2.132591443,Not Significant
PHYHIPL,0.4773,0.007331,0.4935,2.13483678,Not Significant
A2M,-1.048,0.00719,0.4935,2.14327111,Downregulated
C12orf34,0.596,0.007283,0.4935,2.13768969,Not Significant
LOC255480,-0.9411,0.007153,0.4935,2.145511775,Not Significant
LOC150622,0.9708,0.007286,0.4935,2.137510833,Not Significant
LOC100130451,0.9622,0.007342,0.4935,2.13418562,Not Significant
SNAI1,-1.023,0.00725,0.4935,2.139661993,Downregulated
BCL2L13,0.1979,0.007251,0.4935,2.139602095,Not Significant
DSP,-0.9805,0.007197,0.4935,2.142848497,Not Significant
CERS2,-0.484,0.007538,0.4946,2.122743867,Not Significant
SEMA6C,0.5278,0.007425,0.4946,2.129303542,Not Significant
LRRC8E,-0.8766,0.007533,0.4946,2.123032033,Not Significant
RRAS,-0.8278,0.007486,0.4946,2.125750177,Not Significant
MASP1,0.6165,0.007535,0.4946,2.122916743,Not Significant
RHBDF1,-0.6514,0.00761,0.4974,2.118615343,Not Significant
UBQLN2,0.2471,0.007667,0.4991,2.115374537,Not Significant
DOCK1,-0.7425,0.007715,0.5003,2.11266407,Not Significant
DSCAML1,0.6893,0.007823,0.5033,2.10662667,Not Significant
ZNF197,0.417,0.0078,0.5033,2.107905397,Not Significant
LRIG3,-0.9736,0.008134,0.5161,2.089695832,Not Significant
CUX2,0.6015,0.008177,0.5161,2.087406002,Not Significant
UGGT2,-0.5188,0.008106,0.5161,2.091193401,Not Significant
HSDL1,0.2664,0.008179,0.5161,2.087299792,Not Significant
RBPMS,-0.7992,0.008079,0.5161,2.092642392,Not Significant
CD164,-0.757,0.00828,0.5205,2.081969663,Not Significant
L1TD1,-1.033,0.008321,0.5206,2.079824478,Downregulated
PRDX6,-0.5123,0.008346,0.5206,2.07852162,Not Significant
FAM46C,-0.9537,0.008391,0.5215,2.076186279,Not Significant
ADAM33,-0.9939,0.008549,0.5293,2.068084683,Not Significant
TLK1,-0.2367,0.00876,0.5403,2.057495894,Not Significant
KCNK2,0.6097,0.008794,0.5404,2.055813539,Not Significant
POLR3A,0.2868,0.009062,0.5426,2.042775942,Not Significant
GANAB,-0.3036,0.009048,0.5426,2.043447408,Not Significant
CPOX,-0.3403,0.009023,0.5426,2.044649043,Not Significant
MICA,-0.859,0.008998,0.5426,2.045854011,Not Significant
POU3F2,0.4784,0.008894,0.5426,2.050902875,Not Significant
AUTS2,0.39,0.009006,0.5426,2.045468057,Not Significant
SYPL1,-0.4891,0.008937,0.5426,2.048808242,Not Significant
MSN,-0.3958,0.009132,0.5448,2.039434097,Not Significant
ZCCHC24,-0.9672,0.009169,0.545,2.037678027,Not Significant
GSTO1,-0.4109,0.009215,0.5458,2.03550466,Not Significant
XDH,0.954,0.00933,0.5486,2.030118356,Not Significant
PABPC1L2B,0.8795,0.009309,0.5486,2.03109697,Not Significant
POGK,0.2803,0.009736,0.5624,2.011619435,Not Significant
EFEMP2,-0.9948,0.009655,0.5624,2.015247722,Not Significant
MYADM,-0.7661,0.009726,0.5624,2.012065735,Not Significant
ORC4,0.3291,0.009609,0.5624,2.017321807,Not Significant
INSM1,0.5511,0.009701,0.5624,2.013183495,Not Significant
C14orf149,-0.5111,0.01024,0.5647,1.989700043,Not Significant
MFGE8,-0.6672,0.01011,0.5647,1.995248844,Not Significant
CEACAM1,-0.981,0.01007,0.5647,1.996970529,Not Significant
PLEKHA4,-0.8802,0.01021,0.5647,1.990974258,Not Significant
MERTK,-0.7662,0.009946,0.5647,2.002351545,Not Significant
MARCH4,0.6728,0.0103,0.5647,1.987162775,Not Significant
GBX2,0.8828,0.01022,0.5647,1.990549104,Not Significant
SDC4,-0.6983,0.009882,0.5647,2.00515515,Not Significant
ITGA9,-0.944,0.01008,0.5647,1.996539468,Not Significant
SCN5A,-0.9351,0.01019,0.5647,1.991825816,Not Significant
MFI2,-0.8345,0.01026,0.5647,1.988852639,Not Significant
RAB11FIP1,-0.7027,0.01033,0.5647,1.985899678,Not Significant
TPD52,-0.7816,0.01023,0.5647,1.990124366,Not Significant
KIAA2022,0.5636,0.01014,0.5647,1.993962045,Not Significant
TCEAL6,0.8956,0.01016,0.5647,1.993106292,Not Significant
MORC4,-0.9271,0.0103,0.5647,1.987162775,Not Significant
POC1B,-0.3673,0.01042,0.5659,1.982132281,Not Significant
MRC2,-0.6332,0.01039,0.5659,1.983384452,Not Significant
KCTD6,-0.3616,0.01053,0.57,1.977571629,Not Significant
MEX3A,0.3088,0.01065,0.5708,1.972650392,Not Significant
ACTN1,-0.7487,0.01061,0.5708,1.974284616,Not Significant
TICAM1,-0.8589,0.01061,0.5708,1.974284616,Not Significant
NPC2,-0.6069,0.01078,0.5721,1.967381239,Not Significant
COL6A6,-0.969,0.01076,0.5721,1.968187729,Not Significant
ZC3HAV1,-0.6569,0.01073,0.5721,1.969400278,Not Significant
OAF,-0.7698,0.01096,0.5782,1.960189446,Not Significant
RNASE4,-0.9059,0.01096,0.5782,1.960189446,Not Significant
CYBASC3,-0.4846,0.011,0.5784,1.958607315,Not Significant
CSRNP1,-0.5808,0.01106,0.5795,1.956244873,Not Significant
HLA-B,-0.868,0.01116,0.5831,1.952335805,Not Significant
ZNF689,0.2551,0.01125,0.5858,1.948847478,Not Significant
SP9,0.9371,0.01128,0.5858,1.9476909,Not Significant
WASF2,-0.6745,0.0114,0.5886,1.943095149,Not Significant
SLFN12,-0.9886,0.01141,0.5886,1.942714356,Not Significant
FLNA,-0.614,0.01146,0.5896,1.940815382,Not Significant
FREM2,-0.9473,0.01154,0.5914,1.937794191,Not Significant
PDIA3P,-0.3457,0.01185,0.5983,1.92628165,Not Significant
GAS2L2,0.9302,0.01185,0.5983,1.92628165,Not Significant
FERMT1,-0.9868,0.01187,0.5983,1.925549281,Not Significant
SEC14L6,-0.9848,0.01193,0.5983,1.923359556,Not Significant
CSPG5,0.6937,0.01186,0.5983,1.925915311,Not Significant
C7orf41,0.3768,0.0119,0.5983,1.924453039,Not Significant
MYBL1,-0.5962,0.01188,0.5983,1.925183559,Not Significant
HJURP,-0.8059,0.01202,0.6014,1.920095532,Not Significant
SH3BP5L,0.2129,0.01241,0.6059,1.906228219,Not Significant
DDN,0.7147,0.01244,0.6059,1.90517962,Not Significant
RAB35,0.2403,0.0124,0.6059,1.906578315,Not Significant
RBPMS2,-0.6679,0.01232,0.6059,1.909389292,Not Significant
MYLK3,0.8447,0.01234,0.6059,1.90868484,Not Significant
ZFYVE20,0.2118,0.01226,0.6059,1.91150953,Not Significant
ACSL6,0.6116,0.01224,0.6059,1.912218582,Not Significant
PCDHGB1,-0.8347,0.01224,0.6059,1.912218582,Not Significant
SYNPO,-0.9788,0.01241,0.6059,1.906228219,Not Significant
ARHGAP17,-0.3736,0.01264,0.6065,1.898252926,Not Significant
ETFB,0.505,0.01264,0.6065,1.898252926,Not Significant
CRYBA4,-0.9657,0.01264,0.6065,1.898252926,Not Significant
F2RL2,-0.9768,0.01251,0.6065,1.90274269,Not Significant
STOM,-0.743,0.01264,0.6065,1.898252926,Not Significant
C15orf59,0.6647,0.01277,0.6072,1.893809103,Not Significant
NCAN,0.5804,0.01274,0.6072,1.894830572,Not Significant
GPC4,-0.7703,0.01277,0.6072,1.893809103,Not Significant
DES,-0.9714,0.01286,0.6096,1.890759031,Not Significant
LEPREL2,-0.7969,0.01293,0.6112,1.888401475,Not Significant
GRIN2A,0.6614,0.01302,0.6122,1.885389016,Not Significant
FAM84B,0.6649,0.01301,0.6122,1.885722703,Not Significant
CCND1,-0.5753,0.01313,0.6154,1.881735274,Not Significant
SEPN1,-0.3657,0.01325,0.6177,1.877784122,Not Significant
CGN,-0.7533,0.01333,0.6177,1.875169851,Not Significant
BAG5,0.2349,0.01328,0.6177,1.876801925,Not Significant
WWC2,-0.4373,0.01333,0.6177,1.875169851,Not Significant
ANO6,-0.5992,0.01349,0.6233,1.86998805,Not Significant
FZD4,-0.8521,0.01357,0.6255,1.867420152,Not Significant
DIAPH3,-0.7778,0.01367,0.6284,1.864231485,Not Significant
RUNX1,-0.9599,0.01374,0.6298,1.862013267,Not Significant
NTS,0.8462,0.01385,0.631,1.858550227,Not Significant
TBC1D8B,-0.9647,0.01381,0.631,1.859806321,Not Significant
GP5,-0.9553,0.01392,0.6324,1.856360765,Not Significant
ZNF547,0.5118,0.01398,0.6336,1.854492829,Not Significant
B2M,-0.7496,0.01412,0.6364,1.850165303,Not Significant
GPANK1,0.3544,0.01412,0.6364,1.850165303,Not Significant
MYCL1,0.564,0.01419,0.6377,1.848017605,Not Significant
C15orf42,-0.7478,0.01427,0.6397,1.845576027,Not Significant
PTP4A3,-0.6072,0.01435,0.6417,1.843148099,Not Significant
TGFB1I1,-0.8773,0.01443,0.6434,1.840733669,Not Significant
PTGDR2,-0.9554,0.0147,0.6467,1.832682665,Not Significant
RARG,-0.9358,0.01459,0.6467,1.835944708,Not Significant
RAB34,-0.8674,0.01459,0.6467,1.835944708,Not Significant
DSC2,-0.6871,0.0147,0.6467,1.832682665,Not Significant
FZD5,-0.654,0.01478,0.6467,1.830325566,Not Significant
KLHL18,0.249,0.01466,0.6467,1.83386603,Not Significant
PCDHGB5,-0.956,0.01477,0.6467,1.830619505,Not Significant
EFNA1,-0.7949,0.01488,0.6476,1.827397069,Not Significant
KIAA0087,0.9528,0.01488,0.6476,1.827397069,Not Significant
AURKA,-0.652,0.01506,0.6535,1.822175028,Not Significant
GAL3ST3,0.4134,0.01511,0.654,1.820735536,Not Significant
WNT7A,0.7548,0.01515,0.6543,1.819587367,Not Significant
C10orf105,0.8882,0.01528,0.6553,1.815876646,Not Significant
TUBA1C,-0.6215,0.01531,0.6553,1.815024809,Not Significant
ADAMTS9,-0.8947,0.01534,0.6553,1.81417464,Not Significant
PNMA2,0.4278,0.01524,0.6553,1.817015033,Not Significant
MAN1C1,-0.5596,0.01579,0.6597,1.80161787,Not Significant
CDC20,-0.7767,0.01562,0.6597,1.80631897,Not Significant
PACSIN3,-0.8907,0.01553,0.6597,1.808828544,Not Significant
PTHLH,-0.9265,0.01572,0.6597,1.803547458,Not Significant
DAZL,-0.9135,0.01572,0.6597,1.803547458,Not Significant
SRA1,0.3041,0.01559,0.6597,1.807153885,Not Significant
ARPC1B,-0.6737,0.0158,0.6597,1.801342913,Not Significant
IMMP2L,-0.4426,0.01559,0.6597,1.807153885,Not Significant
ROR2,-0.9148,0.01578,0.6597,1.801893001,Not Significant
PIEZO1,-0.7733,0.0159,0.6621,1.798602876,Not Significant
SOCS3,-0.9404,0.01601,0.6634,1.795608668,Not Significant
LOC150568,0.8026,0.01601,0.6634,1.795608668,Not Significant
RASL12,-0.8837,0.01609,0.665,1.793443956,Not Significant
SATL1,0.8447,0.01618,0.6671,1.791021483,Not Significant
C1orf27,-0.3158,0.01624,0.6679,1.789413975,Not Significant
TMEM198,0.4547,0.01647,0.6739,1.783306401,Not Significant
MYOT,-0.928,0.01645,0.6739,1.783834098,Not Significant
PLAU,-0.8276,0.01655,0.6749,1.781202002,Not Significant
GPC6,-0.5345,0.01662,0.6749,1.779368981,Not Significant
COPZ2,-0.9194,0.01661,0.6749,1.779630368,Not Significant
MTHFR,0.2998,0.01729,0.6753,1.762205007,Not Significant
PARD3,-0.3704,0.01726,0.6753,1.762959209,Not Significant
PDIA3,-0.3509,0.01708,0.6753,1.767512134,Not Significant
TPM1,-0.7177,0.01711,0.6753,1.76674999,Not Significant
PRC1,-0.5474,0.01718,0.6753,1.764976841,Not Significant
PLK1,-0.6854,0.01672,0.6753,1.776763727,Not Significant
PIEZO2,-0.8503,0.01699,0.6753,1.769806621,Not Significant
ZNF90,-0.7327,0.0169,0.6753,1.772113295,Not Significant
GALP,0.8155,0.01693,0.6753,1.771343042,Not Significant
LOC440905,-0.8935,0.01671,0.6753,1.77702355,Not Significant
RFTN1,-0.8999,0.01677,0.6753,1.775466937,Not Significant
TMEM196,0.7006,0.01701,0.6753,1.769295686,Not Significant
